Euring;Sortering;Artnavn;Latin;English;Status;Type
01946;640;"Skeand x Blåvinget And (hybrid)";"Spatula clypeata x S. discors";"Northern Shoveler x Blue-winged Teal";HU;hybrid
01947;650;"Skeand x Knarand (hybrid)";"Spatula clypeata x Mareca strepera";"Northern Shoveler x Gadwall";H;hybrid
01948;660;"Skeand x Gråand (hybrid)";"Spatula clypeata x Anas platyrhynchos";"Northern Shoveler x Mallard";H;hybrid
01949;670;"Svømmeand sp.";"Mareca/Anas/Spatula sp.";"Dabbling Duck sp.";H;ubestemt
01820;680;Knarand;"Mareca strepera";Gadwall;A;art
01810;690;Segland;"Mareca falcata";"Falcated Duck";E;art
01790;700;Pibeand;"Mareca penelope";"Eurasian Wigeon";A;art
01794;710;"Pibeand x Gråand (hybrid)";"Mareca penelope x Anas platyrhynchos";"Eurasian Wigeon x Mallard";H;hybrid
01793;720;"Pibeand x Krikand (hybrid)";"Mareca penelope x Anas crecca";"Eurasian Wigeon x Eurasian Teal";X;hybrid
25800;730;Chilepibeand;"Mareca sibilatrix";"Chiloe Wigeon";E;art
01797;740;"Pibeand x Knarand (hybrid)";"Mareca penelope x M. strepera";"Eurasian Wigeon x Gadwall";H;hybrid
01798;750;"Pibeand x Chilepibeand (hybrid)";"Mareca penelope x M. sibilatrix";"Eurasian Wigeon x Chiloe Wigeon";H;hybrid
01799;760;Pibeand/Spidsand;"Mareca penelope/Anas acuta";"Eurasian Wigeon/Pintail";H;ubestemt
01800;770;"Amerikansk Pibeand";"Mareca americana";"American Wigeon";AU;art
01808;780;"Amerikansk Pibeand x Pibeand (hybrid)";"Mareca americana x M. penelope";"American Wigeon x Eurasian Wigeon";HU;hybrid
01860;790;Gråand;"Anas platyrhynchos";Mallard;A;art
01895;800;"Gråand x Knarand (hybrid)";"Anas platyrhynchos x Mareca strepera";"Mallard x Gadwall";H;hybrid
01870;810;"Sortbrun And";"Anas rubripes";"American Black Duck";AU;art
01867;820;"Gråand x Ederfugl (hybrid)";"Anas platyrhynchos x Somateria mollissima";"Mallard x Common Eider";H;hybrid
01868;830;"Gråand x Troldand (hybrid)";"Anas platyrhynchos x Aythya fuligula";"Mallard x Tufted Duck";H;hybrid
01866;840;"Gråand x Moskusand (hybrid)";"Anas platyrhynchos x Cairina moschata";"Mallard x Muscovy Duck";H;hybrid
01869;850;"Gråand x svømmeand sp. (hybrid)";"Anas platyrhynchos x Mareca/Anas/Spatula sp.";"Mallard x Dabbling Duck sp.";H;hybrid
01890;860;Spidsand;"Anas acuta";"Northern Pintail";A;art
01893;870;"Spidsand x Pibeand (hybrid)";"Anas acuta x Mareca penelope";"Northern Pintail x Eurasian Wigeon";H;hybrid
01894;880;"Spidsand x Gråand (hybrid)";"Anas acuta x A. platyrhynchos";"Northern Pintail x Mallard";H;hybrid
01840;890;Krikand;"Anas crecca";"Eurasian Teal";A;art
01843;900;"Krikand x Gråand (hybrid)";"Anas crecca x A. platyrhynchos";"Eurasian Teal x Mallard";H;hybrid
01844;910;"Krikand x Amerikansk Krikand (hybrid)";"Anas crecca x A. carolinensis";"Eurasian Teal x Green-winged Teal";H;hybrid
